Name,Link,Universe,Other Aliases,Education,Place of Origin,Identity,Known Relatives
Agent Mobius,https://www.marvel.com/characters/agent-mobius,,,,,,
Agent X,https://www.marvel.com/characters/agent-x-nijo,['Marvel Universe'],['Alex Hayden'],['Unrevealed'],['Unrevealed'],['Secret'],"['Minamiyori (brother, deceased)']"
Agent Zero,https://www.marvel.com/characters/agent-zero,['Marvel Universe'],"['Formerly Maverick, David North, Agent Zero']",['Unrevealed'],['Unrevealed location in former East Germany'],"['Secret, known to certain government officials']","['Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), Son James Nord(deceased)']"
Aggamon,https://www.marvel.com/characters/aggamon,['Marvel Universe'],['Agammon the All-Powerful'],['Unrevealed'],['Unrevealed'],['No dual identity'],['None']
El Águila,https://www.marvel.com/characters/aguila-alejandro-montoya,['Marvel Universe'],"['The Eagle, the Master, Águila']",['Unrevealed'],"['Madrid, Spain']",['Secret'],"['Migdalia (cousin), Paco Montoya (El Aguila, ancestor), David Montoya, Pedro Montoya, Conchita Montoya, Rosita Montoya, Enrique Montoya, Rosario Montoya']"
Aguila,https://www.marvel.com/characters/aguila-paco-montoya,['Marvel Universe'],['The Flashing Sword of Justice'],['Unrevealed'],['Unrevealed'],['Secret'],"['Enrique Montoya (cousin; deceased), Alejandro Montoya (Aguila, descendent)']"
Ahab,https://www.marvel.com/characters/ahab,['Marvel Universe'],"['Famine, Master of the Hounds']",['Ph.D. in psychology from Strathclyde University'],['Unrevealed'],['Secret'],['None']
Ahab,https://www.marvel.com/characters/ahab-earth-811,['Days of Future Past (Earth-811)'],['Master of the Hounds'],['Presumably Ph.D. in psychology'],['Unrevealed'],['Secret'],['None']
Ai Apaec,https://www.marvel.com/characters/ai-apaec,['Marvel Universe'],"['Spider-Man, the Decapitator']",['Unrevealed'],['Unrevealed'],['Known to authorities'],['Unrevealed']
Ninetyseven,https://www.marvel.com/characters/aiko-maki,,"['Ninety-Seventh Centivar of The-Natural-Order-of-Things, Doctor of Abnormal Observation and All Things Weird']",,,,
Air-Walker,https://www.marvel.com/characters/air-walker-gabriel-lan,['Marvel Universe'],"['Nova Centurion, the Archangel Gabriel']",['Unrevealed'],"['Planet Xandar in the Tranta system, Andromeda Galaxy']",['Secret'],['Unrevealed']
Airstrike,https://www.marvel.com/characters/airstrike-dmitri-bukharin,['Marvel Universe'],['Crimson Dynamo'],['Unrevealed; military training'],"['Kuybyshev, Novosibirsk Oblast, Russia']",['Publicly known'],['None']
Aisha,https://www.marvel.com/characters/aisha,,,,,,
Ajak,https://www.marvel.com/characters/ajak,,,,,,
Ajax,https://www.marvel.com/characters/ajax-francis,['Marvel Universe'],"['""Frankie,"" the A-Man, the Attending']",['Unrevealed'],['Unrevealed'],['Secret'],['Unidentified mother']
Ajaxis,https://www.marvel.com/characters/ajaxis,['Marvel Universe'],['Unrevealed'],['Unrevealed'],['Unrevealed'],['Unrevealed'],['Unrevealed']
Akhenaten,https://www.marvel.com/characters/akhenaten,['Marvel Universe'],['unrevealed'],['Royal tutors'],"['Thebes, Egypt']",['Known only as historic figure to general public of Earth'],"['Amenhotep III (father), Tiy (mother), Nefertiti (wife), Tutankhaten/Tutankhamen (son or step-son)']"
Aladi Ko Eke,https://www.marvel.com/characters/aladi-ko-eke,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['The general populace of Earth was unaware of her existence'],['None']
Alan O'Neil,https://www.marvel.com/characters/alan-o-neil,['Marvel Universe'],,['Unrevealed'],"['Woodside, Queens, New York']",['No dual identity'],['None']
Albert,https://www.marvel.com/characters/albert-elsie-dee,['Marvel Universe'],"['(Albert) Wolverine, Dummy; (Elsie-Dee) None']",['Self-taught'],,['(Albert) Secret; (Elsie-Dee) No dual identity'],['unrevealed']
Albino,https://www.marvel.com/characters/albino-augusta-seger,['Marvel Universe'],['Unrevealed'],['Unrevealed'],['Unrevealed'],['Known to the authorities'],['Unrevealed']
Albion,https://www.marvel.com/characters/albion-peter-hunter,['Marvel Universe'],"['Merlin, the Grail Hermit']","['Ph.D. in History, B.A. in English Literature']","['Adlestrop, England']",['Secret'],['None']
Alchemy,https://www.marvel.com/characters/alchemy,['Marvel Universe'],['Tom Jones'],['Unrevealed'],['England'],['Secret'],"['Ophelia Jones (mother), Ellie Jones (sister)']"
Aldebron,https://www.marvel.com/characters/aldebron,['Marvel Universe'],['None known'],['Unrevealed'],"['Unrevealed, possibly a location on the planet of Tun']","[""The general populace of Earth was unaware of Aldebron's existence""]",['None known']
Starhawk,https://www.marvel.com/characters/aleta-ogord-earth-691,['Earth-691'],"['""Light Goddess,"" ""One Who Knows,"" Light Giver']","['Arcturian military training, some scientific studies']","['Arcturus IV, Earth-691']",['No dual identity'],"['Ogord (father,deceased), Salaan (mother, deceased), Major Victory (fiancé), Stakar Ogord (Starhawk, ex-husband and adoptive brother), Tara, Sita and John (children, all deceased) — all Reailty-691']"
Alex Wilder,https://www.marvel.com/characters/alex-wilder,,,,,,
Alexander Bont,https://www.marvel.com/characters/alexander-bont,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['No dual identity'],"['Lucy Chamber (wife, deceased), Anita Cartelli (mother)']"
Alexander Lexington,https://www.marvel.com/characters/alexander-lexington,['Marvel Universe'],"['""Lex""']",,,['Public; status as a former mutant is not publicly known'],['no known relatives']
Alflyse,https://www.marvel.com/characters/alflyse,['Marvel Universe'],['None'],['Unrevealed'],['Svartalfheim'],['No dual identity'],['None']
Alice,https://www.marvel.com/characters/alice,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['No dual identity'],['None']
Alicia Masters,https://www.marvel.com/characters/alicia-masters,['Marvel Universe'],"['Alicia Reiss (birth name); the name Alicia Masters-Storm was used by Skrull impostor Lyja, but was popularly believed to have been used by Alicia']",['B.A. in Fine Arts'],"['New York City, New York']",['Publicly known'],"['Phillip Masters (stepfather), Marcia Reiss Masters (mother, deceased), Jacob Reiss (father, deceased)']"
Alioth,https://www.marvel.com/characters/alioth,,,['Unrevealed'],['Unidentified dimension and time period'],['No dual identity'],['None']
Alkhema,https://www.marvel.com/characters/alkhema,['Marvel Universe'],['unrevealed'],"['Programmed by Ultron, self-taught since']",['unrevealed'],['No dual identity'],"['Ultron (creator), Bobbi Morse (Mockingbird, deceased, source of engrams), Jocasta (""sister""), Antigone (creation, consciousness apparently destroyed)']"
All-American,https://www.marvel.com/characters/all-american,['Earth-148611'],"['John, Jack, Mr. Magnificent']",['College graduate'],"['Newburgh, New York']",['Publicly known'],"['Darlene (wife), unidentified parents (deceased), Steve (brother, deceased)']"
Allatou,https://www.marvel.com/characters/allatou,['Marvel Universe'],['None known'],['Unrevealed'],['Unrevealed'],['Unknown to the general populace of Earth'],['Nergal (husband)']
Alpha the Ultimate Mutant,https://www.marvel.com/characters/alpha-the-ultimate-mutant,['Marvel Universe'],['None'],['Self-taught'],['Unrevealed'],['No Dual Identity'],['Magneto (creator)']
Alphonso Mackenzie,https://www.marvel.com/characters/alphonso-mack-mackenzie,,,,,,
Alter Ego,https://www.marvel.com/characters/alter-ego,['Marvel Universe'],,['Unrevealed'],['Unrevealed'],['No dual identity'],['Ego (The Living Planet)']
Alvi Brorson,https://www.marvel.com/characters/alvi,,,,,,
Alysande Stuart,https://www.marvel.com/characters/alysande-stuart,,['Brigadier Sandy Stuart'],,['Unknown'],['Public'],['Alistaire Stuart (Brother)']
Alyssa Moy,https://www.marvel.com/characters/alyssa-moy,['Marvel Universe'],['None known'],['College graduate'],['Unrevealed'],['No dual identity'],['None known']
Brawn,https://www.marvel.com/characters/amadeus-cho,,,,,,
Amalgam,https://www.marvel.com/characters/amalgam,['Marvel Universe'],['Angel of Death'],['Unrevealed'],['Unrevealed'],['Secret'],['None']
Amalia Chavez,https://www.marvel.com/characters/amalia-chavez,,,,,,"['Elena Chavez (wife), America Chavez (daughter), Catalina Chavez (daughter)']"
Amanda,https://www.marvel.com/characters/amanda,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Public'],['None']
Amelia Voght,https://www.marvel.com/characters/amelia-voght,['Marvel Universe'],['None'],['RN (Registered Nurse)'],['Unrevealed'],['No dual identity'],"['Unidentified parents, unidentified others']"
Amergin,https://www.marvel.com/characters/amergin,,,['Unknown'],['Avalon'],['The general population of Earth does not know of the existence of Amergin'],['Doctor Druid(descendent)']
America Chavez,https://www.marvel.com/characters/miss-america-america-chavez,,,,,,
American Eagle,https://www.marvel.com/characters/american-eagle-jason-strongbow,['Marvel Universe'],['none'],['unrevealed'],"['Kaibito, Arizona']",['Secret'],"['Ward (brother, deceased)']"
Americop,https://www.marvel.com/characters/americop,['Marvel Universe'],['unrevealed'],['Police academy training'],['Unrevealed'],['Known to authorities'],['None']
Amiko,https://www.marvel.com/characters/amiko,['Marvel Universe'],,,,,['Wolverine (adopted father)']
Aminedi,https://www.marvel.com/characters/aminedi,['Marvel Universe'],['Unrevealed'],,['Unrevealed'],['Unrevealed'],['Unrevealed']
Ammit,https://www.marvel.com/characters/ammit,,"['Ammut, Ammitu']",,,,
